title,plot-edge-mv-weight-early-aug-2018-density-exp
authors,"Amy Kendig, Christopher Wojan, Penny Reif, David Notman, Daniela Menendez"
location,"Big Oaks National Wildlife Refuge, Madison, IN, USA"
date,20180801 - 20180803
entered-original,early-August-plot-edge-Mv-biomass1 on OneDrive
scanned-original,plot-edge-mv-weight-early-aug-2018-density-exp
,
columns,meaning
site,experimental site (D1 - 4)
plot,"experimental plot, which corresponds to planting treatment (1 - 10)"
treatment,"fungicide treatment (water, fungicide)"
mv.g,weight of Mv (g)
mv_weigh_date,date that Mv was weighed
process_notes,notes taken during sample processing
