date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots,scan,microbiome,seeds_collected,flower_bags,field_notes
20190927,D2,10,fungicide,Ev,3,6,5,0,1,NA,1,NA,
20190927,D2,10,fungicide,Ev,A,3,2,0,1,NA,0,NA,
20190927,D2,1,water,Ev,1,4,0,0,1,NA,0,NA,
20190927,D2,1,water,Ev,2,4,2,0,1,NA,0,NA,
20190927,D2,1,water,Ev,3,1,0,0,1,NA,0,NA,
20190927,D2,1,water,Ev,A,0,0,0,0,NA,0,NA,
20190927,D2,2,water,Ev,1,6,4,1,1,NA,1,NA,
20190927,D2,2,water,Ev,2,5,3,0,1,NA,1,NA,
20190927,D2,2,water,Ev,3,3,3,1,1,NA,0,NA,
20190927,D2,2,water,Ev,A,3,2,0,1,NA,1,NA,
20190927,D2,3,water,Ev,1,6,2,0,1,NA,0,NA,
20190927,D2,3,water,Ev,2,3,2,0,1,NA,0,NA,
20190927,D2,3,water,Ev,3,8,3,0,1,NA,0,NA,
20190927,D2,3,water,Ev,A,5,5,0,1,NA,1,NA,
20190927,D2,4,water,Ev,1,1,1,0,1,NA,1,NA,
20190927,D2,4,water,Ev,2,2,0,0,1,NA,1,NA,
20190927,D2,4,water,Ev,3,3,1,0,1,NA,1,NA,
20190927,D2,4,water,Ev,A,2,0,0,1,NA,1,NA,
20190927,D2,5,water,Ev,1,3,2,0,1,NA,1,NA,
20190927,D2,5,water,Ev,2,8,6,0,1,NA,1,NA,
20190927,D2,5,water,Ev,3,6,5,0,1,NA,1,NA,"tag not labelled, added"
20190927,D2,5,water,Ev,A,4,3,0,1,NA,1,NA,
20190927,D2,6,water,Ev,1,4,3,0,1,NA,1,NA,
20190927,D2,6,water,Ev,2,3,2,0,1,NA,1,NA,
20190927,D2,6,water,Ev,3,1,0,0,0,NA,1,NA,last leaf
20190927,D2,6,water,Ev,A,0,0,0,0,NA,0,NA,
20190927,D2,7,water,Ev,1,2,1,0,1,NA,0,NA,
20190927,D2,7,water,Ev,2,4,3,0,1,NA,1,NA,
20190927,D2,7,water,Ev,3,4,2,0,1,NA,1,NA,
20190927,D2,7,water,Ev,A,4,2,0,1,NA,1,NA,
20190927,D2,8,water,Ev,1,1,1,1,1,NA,1,NA,
20190927,D2,8,water,Ev,2,2,1,1,1,NA,1,NA,
20190927,D2,8,water,Ev,3,3,2,1,1,NA,1,NA,
20190927,D2,8,water,Ev,A,3,1,0,1,NA,1,NA,
20190927,D2,9,water,Ev,1,4,3,0,1,NA,0,NA,
20190927,D2,9,water,Ev,2,3,1,0,1,NA,0,NA,
20190927,D2,9,water,Ev,3,1,0,0,0,NA,0,NA,last leaf
20190927,D2,9,water,Ev,A,1,0,0,1,NA,0,NA,
20190927,D2,10,water,Ev,1,2,2,0,1,NA,1,NA,
20190927,D2,10,water,Ev,2,4,2,0,1,NA,1,NA,
20190927,D2,10,water,Ev,3,2,1,0,1,NA,1,NA,
20190927,D2,10,water,Ev,A,3,2,0,1,NA,1,NA,
20190925,D3,1,fungicide,Ev,1,4,3,0,1,NA,1,NA,
20190925,D3,1,fungicide,Ev,2,0,0,0,0,NA,0,NA,"not dead, still has seeds"
20190925,D3,1,fungicide,Ev,3,2,2,0,1,NA,0,NA,
20190925,D3,1,fungicide,Ev,A,3,2,0,1,NA,1,NA,
20190925,D3,2,fungicide,Ev,1,5,3,0,1,NA,1,NA,
20190925,D3,2,fungicide,Ev,2,2,1,0,1,NA,1,NA,
20190925,D3,2,fungicide,Ev,3,3,1,0,1,NA,1,NA,
20190925,D3,2,fungicide,Ev,A,3,2,0,1,NA,1,NA,
20190925,D3,3,fungicide,Ev,1,2,1,0,1,NA,1,NA,
20190925,D3,3,fungicide,Ev,2,1,1,0,1,NA,1,NA,
20190925,D3,3,fungicide,Ev,3,2,2,0,1,NA,0,NA,
20190925,D3,3,fungicide,Ev,A,3,1,0,1,NA,1,NA,
20190925,D3,4,fungicide,Ev,1,3,3,0,1,NA,1,NA,
20190925,D3,4,fungicide,Ev,2,4,3,0,1,NA,1,NA,
20190925,D3,4,fungicide,Ev,3,4,2,0,1,NA,1,NA,
20190925,D3,4,fungicide,Ev,A,2,2,0,1,NA,1,NA,
20190925,D3,5,fungicide,Ev,1,2,2,1,1,NA,1,NA,
20190925,D3,5,fungicide,Ev,2,5,2,0,1,NA,1,NA,
20190925,D3,5,fungicide,Ev,3,5,2,0,1,NA,1,NA,
20190925,D3,5,fungicide,Ev,A,2,1,0,1,NA,1,NA,
20190925,D3,6,fungicide,Ev,1,3,2,1,1,NA,0,NA,
20190925,D3,6,fungicide,Ev,2,3,1,1,1,NA,1,NA,
20190925,D3,6,fungicide,Ev,3,3,1,0,1,NA,0,NA,
20190925,D3,6,fungicide,Ev,A,3,1,0,1,NA,1,NA,
20190926,D3,7,fungicide,Ev,1,4,2,0,1,NA,1,NA,
20190926,D3,7,fungicide,Ev,2,2,0,0,1,NA,1,NA,
20190926,D3,7,fungicide,Ev,3,3,2,1,1,NA,0,NA,
20190926,D3,7,fungicide,Ev,A,4,2,0,1,NA,1,NA,
20190925,D3,8,fungicide,Ev,1,3,2,0,1,NA,1,NA,
20190925,D3,8,fungicide,Ev,2,4,3,1,1,NA,0,NA,
20190925,D3,8,fungicide,Ev,3,6,4,1,1,NA,1,NA,
20190925,D3,8,fungicide,Ev,A,3,2,0,1,NA,0,NA,
20190925,D3,9,fungicide,Ev,1,7,5,1,1,NA,0,NA,
20190925,D3,9,fungicide,Ev,2,3,1,0,1,NA,1,NA,
20190925,D3,9,fungicide,Ev,3,2,1,0,1,NA,1,NA,
20190925,D3,9,fungicide,Ev,A,2,1,0,1,NA,1,NA,
20190925,D3,10,fungicide,Ev,1,3,1,0,1,NA,1,NA,"not labelled, added"
20190925,D3,10,fungicide,Ev,2,3,0,0,1,NA,1,NA,
20190925,D3,10,fungicide,Ev,3,2,1,0,1,NA,1,NA,
20190925,D3,10,fungicide,Ev,A,4,1,0,1,NA,1,NA,one of the background isn't E virginicus
20190925,D3,1,water,Ev,1,3,1,0,1,NA,1,NA,
20190925,D3,1,water,Ev,2,2,0,0,1,NA,1,NA,
20190925,D3,1,water,Ev,3,0,0,0,0,NA,1,NA,
20190925,D3,1,water,Ev,A,3,0,0,1,NA,1,NA,
20190925,D3,2,water,Ev,1,4,3,1,1,NA,1,NA,
20190925,D3,2,water,Ev,2,5,3,1,1,NA,1,NA,
20190925,D3,2,water,Ev,3,3,1,0,1,NA,1,NA,
20190925,D3,2,water,Ev,A,3,1,1,1,NA,1,NA,
20190926,D3,3,water,Ev,1,4,3,1,1,NA,1,NA,
20190926,D3,3,water,Ev,2,2,1,0,1,NA,1,NA,
20190926,D3,3,water,Ev,3,6,4,0,1,NA,NA,NA,seed data missing
20190926,D3,3,water,Ev,A,4,2,1,1,NA,1,NA,
20190925,D3,4,water,Ev,1,2,1,1,1,NA,1,NA,
20190925,D3,4,water,Ev,2,4,2,0,1,NA,1,NA,
20190925,D3,4,water,Ev,3,3,2,0,1,NA,0,NA,
20190925,D3,4,water,Ev,A,2,1,0,1,NA,1,NA,
20190925,D3,5,water,Ev,1,3,1,1,1,NA,0,NA,
20190925,D3,5,water,Ev,2,2,1,0,1,NA,1,NA,
20190925,D3,5,water,Ev,3,2,1,0,1,NA,1,NA,
20190925,D3,5,water,Ev,A,4,2,1,1,NA,1,NA,2 seed bags
20190925,D3,6,water,Ev,1,2,1,0,1,NA,1,NA,
20190925,D3,6,water,Ev,2,3,2,1,1,NA,0,NA,
20190925,D3,6,water,Ev,3,3,2,0,1,NA,1,NA,
20190925,D3,6,water,Ev,A,3,1,0,1,NA,1,NA,
20190925,D3,7,water,Ev,1,4,2,0,1,NA,1,NA,
20190925,D3,7,water,Ev,2,0,0,0,0,NA,1,NA,
20190925,D3,7,water,Ev,3,2,0,0,1,NA,0,NA,
20190925,D3,7,water,Ev,A,3,2,0,1,NA,1,NA,
20190926,D3,8,water,Ev,1,5,3,0,1,NA,1,NA,
20190926,D3,8,water,Ev,2,6,4,0,1,NA,1,NA,
20190926,D3,8,water,Ev,3,6,4,0,1,NA,1,NA,
20190926,D3,8,water,Ev,A,4,2,0,1,NA,1,NA,
20190925,D3,9,water,Ev,1,3,2,0,1,NA,0,NA,
20190925,D3,9,water,Ev,2,2,1,0,1,NA,1,NA,
20190925,D3,9,water,Ev,3,3,2,0,1,NA,0,NA,
20190925,D3,9,water,Ev,A,3,0,0,1,NA,0,NA,
20190925,D3,10,water,Ev,1,3,1,0,1,NA,1,NA,
20190925,D3,10,water,Ev,2,1,1,0,1,NA,1,NA,
20190925,D3,10,water,Ev,3,3,1,0,1,NA,1,NA,
20190925,D3,10,water,Ev,A,3,1,0,1,NA,1,NA,
20190924,D4,1,fungicide,Ev,1,7,6,0,1,NA,1,NA,
20190924,D4,1,fungicide,Ev,2,7,6,0,1,NA,0,NA,
20190924,D4,1,fungicide,Ev,3,5,4,0,1,NA,0,NA,
20190924,D4,1,fungicide,Ev,A,4,1,0,1,NA,1,NA,
20190924,D4,2,fungicide,Ev,1,3,0,0,1,NA,1,NA,
20190924,D4,2,fungicide,Ev,2,3,1,0,1,NA,0,NA,
20190924,D4,2,fungicide,Ev,3,9,7,0,1,NA,1,NA,
20190924,D4,2,fungicide,Ev,A,5,2,0,1,NA,1,NA,
20190924,D4,3,fungicide,Ev,1,3,2,0,1,NA,1,NA,
20190924,D4,3,fungicide,Ev,2,4,4,0,1,NA,1,NA,
20190924,D4,3,fungicide,Ev,3,3,3,0,1,NA,0,NA,
20190924,D4,3,fungicide,Ev,A,4,4,1,1,NA,1,NA,2 seed bags
20190924,D4,4,fungicide,Ev,1,3,3,0,1,NA,0,NA,
20190924,D4,4,fungicide,Ev,2,2,1,0,1,NA,0,NA,
20190924,D4,4,fungicide,Ev,3,3,2,0,1,NA,0,NA,
20190924,D4,4,fungicide,Ev,A,4,4,0,1,NA,0,NA,
20190924,D4,5,fungicide,Ev,1,7,6,1,1,NA,1,NA,
20190924,D4,5,fungicide,Ev,2,4,1,0,1,NA,1,NA,
20190924,D4,5,fungicide,Ev,3,5,4,0,1,NA,0,NA,
20190924,D4,5,fungicide,Ev,A,3,1,1,1,NA,1,NA,
20190924,D4,6,fungicide,Ev,1,6,4,0,1,NA,0,NA,
20190924,D4,6,fungicide,Ev,2,5,3,0,1,NA,0,NA,
20190924,D4,6,fungicide,Ev,3,3,1,1,1,NA,1,NA,seeds found in lab
20190924,D4,6,fungicide,Ev,A,5,3,0,1,NA,1,NA,
20190924,D4,7,fungicide,Ev,1,3,2,0,1,NA,0,NA,"tag not labelled, added"
20190924,D4,7,fungicide,Ev,2,5,4,0,1,NA,1,NA,
20190924,D4,7,fungicide,Ev,3,2,1,0,1,NA,1,NA,
20190924,D4,7,fungicide,Ev,A,5,3,0,1,NA,1,NA,
20190924,D4,8,fungicide,Ev,1,8,6,1,1,NA,1,NA,
20190924,D4,8,fungicide,Ev,2,7,6,0,1,NA,1,NA,
20190924,D4,8,fungicide,Ev,3,7,6,0,1,NA,1,NA,
20190924,D4,8,fungicide,Ev,A,6,5,0,1,NA,1,NA,
20190924,D4,9,fungicide,Ev,1,5,4,1,1,NA,0,NA,
20190924,D4,9,fungicide,Ev,2,6,4,0,1,NA,1,NA,
20190924,D4,9,fungicide,Ev,3,5,5,0,1,NA,0,NA,
20190924,D4,9,fungicide,Ev,A,3,1,0,1,NA,1,NA,
20190924,D4,10,fungicide,Ev,1,5,5,1,1,NA,0,NA,
20190924,D4,10,fungicide,Ev,2,8,5,1,1,NA,1,NA,
20190924,D4,10,fungicide,Ev,3,9,7,0,1,NA,1,NA,
20190924,D4,10,fungicide,Ev,A,2,1,0,1,NA,1,NA,
20190924,D4,1,water,Ev,1,7,5,1,1,NA,1,NA,
20190924,D4,1,water,Ev,2,4,1,0,1,NA,1,NA,
20190924,D4,1,water,Ev,3,6,3,1,1,NA,0,NA,
20190924,D4,1,water,Ev,A,1,0,0,1,NA,1,NA,2 seed bags
20190924,D4,2,water,Ev,1,2,1,0,1,NA,1,NA,
20190924,D4,2,water,Ev,2,3,3,1,1,NA,0,NA,
20190924,D4,2,water,Ev,3,4,3,1,1,NA,0,NA,
20190924,D4,2,water,Ev,A,2,0,0,1,NA,1,NA,
20190924,D4,3,water,Ev,1,0,0,0,0,NA,1,NA,
20190924,D4,3,water,Ev,2,2,2,0,1,NA,0,NA,
20190924,D4,3,water,Ev,3,7,1,0,1,NA,0,NA,
20190924,D4,3,water,Ev,A,3,1,0,1,NA,1,NA,
20190924,D4,4,water,Ev,1,1,1,1,1,NA,1,NA,
20190924,D4,4,water,Ev,2,2,0,0,1,NA,0,NA,
20190924,D4,4,water,Ev,3,3,3,1,1,NA,0,NA,
20190924,D4,4,water,Ev,A,1,0,0,0,NA,0,NA,only one leaf on plant
20190924,D4,5,water,Ev,1,7,4,0,1,NA,0,NA,
20190924,D4,5,water,Ev,2,6,4,0,1,NA,1,NA,
20190924,D4,5,water,Ev,3,6,6,0,1,NA,0,NA,
20190924,D4,5,water,Ev,A,3,1,0,1,NA,1,NA,
20190924,D4,6,water,Ev,1,3,3,0,1,NA,0,NA,
20190924,D4,6,water,Ev,2,3,3,0,1,NA,0,NA,
20190924,D4,6,water,Ev,3,4,2,0,1,NA,0,NA,
20190924,D4,6,water,Ev,A,5,3,0,1,NA,1,NA,
20190924,D4,7,water,Ev,1,3,2,1,1,NA,1,NA,
20190924,D4,7,water,Ev,2,6,5,1,1,NA,0,NA,
20190924,D4,7,water,Ev,3,6,4,1,1,NA,0,NA,
20190924,D4,7,water,Ev,A,1,1,0,1,NA,1,NA,
20190924,D4,8,water,Ev,1,2,1,0,1,NA,1,NA,
20190924,D4,8,water,Ev,2,2,1,1,1,NA,0,NA,
20190924,D4,8,water,Ev,3,2,0,0,1,NA,0,NA,
20190924,D4,8,water,Ev,A,2,1,0,1,NA,1,NA,2 seed bags
20190924,D4,9,water,Ev,1,5,1,0,1,NA,0,NA,
20190924,D4,9,water,Ev,2,1,0,0,1,NA,1,NA,
20190924,D4,9,water,Ev,3,8,6,0,1,NA,0,NA,
20190924,D4,9,water,Ev,A,0,0,0,0,NA,0,NA,
20190924,D4,10,water,Ev,1,7,5,1,1,NA,0,NA,
20190924,D4,10,water,Ev,2,2,0,0,1,NA,1,NA,
20190924,D4,10,water,Ev,3,2,1,0,1,NA,NA,NA,seed data missing
20190924,D4,10,water,Ev,A,0,0,0,0,NA,0,NA,
,,,,,,,,,,,,5,

