date,site,plot,treatment,sp,ID,status
20180801,D1,9,water,Mv,1,infected
20180801,D1,9,water,Mv,2,infected
20180801,D1,9,water,Mv,3,infected
20180801,D1,9,water,Ev,1,infected
20180801,D1,9,water,Ev,2,infected
20180801,D1,9,water,Ev,3,infected
20180801,D1,9,water,Ev,A,infected
20180801,D1,10,water,Mv,1,infected
20180801,D1,10,water,Mv,2,infected
20180801,D1,10,water,Mv,3,infected
20180801,D1,10,water,Ev,1,infected
20180801,D1,10,water,Ev,2,infected
20180801,D1,10,water,Ev,3,dead
20180801,D1,10,water,Ev,A,infected
20180802,D2,1,fungicide,Mv,1,infected
20180802,D2,1,fungicide,Mv,2,uninfected
20180802,D2,1,fungicide,Mv,3,infected
20180802,D2,1,fungicide,Ev,1,infected
20180802,D2,1,fungicide,Ev,2,infected
20180802,D2,1,fungicide,Ev,3,infected
20180802,D2,1,fungicide,Ev,A,infected
20180802,D2,2,fungicide,Mv,1,uninfected
20180802,D2,2,fungicide,Mv,2,uninfected
20180802,D2,2,fungicide,Mv,3,uninfected
20180802,D2,2,fungicide,Ev,1,infected
20180802,D2,2,fungicide,Ev,2,infected
20180802,D2,2,fungicide,Ev,3,infected
20180802,D2,2,fungicide,Ev,A,infected
20180802,D2,3,fungicide,Mv,1,infected
20180802,D2,3,fungicide,Mv,2,infected
20180802,D2,3,fungicide,Mv,3,infected
20180802,D2,3,fungicide,Ev,1,infected
20180802,D2,3,fungicide,Ev,2,infected
20180802,D2,3,fungicide,Ev,3,infected
20180802,D2,3,fungicide,Ev,A,infected
20180801,D2,4,fungicide,Mv,1,uninfected
20180801,D2,4,fungicide,Mv,2,infected
20180801,D2,4,fungicide,Mv,3,infected
20180801,D2,4,fungicide,Ev,1,infected
20180801,D2,4,fungicide,Ev,2,infected
20180801,D2,4,fungicide,Ev,3,infected
20180801,D2,4,fungicide,Ev,A,infected
20180801,D2,5,fungicide,Mv,1,infected
20180801,D2,5,fungicide,Mv,2,infected
20180801,D2,5,fungicide,Mv,3,infected
20180801,D2,5,fungicide,Ev,1,infected
20180801,D2,5,fungicide,Ev,2,infected
20180801,D2,5,fungicide,Ev,3,infected
20180801,D2,5,fungicide,Ev,A,infected
20180802,D2,6,fungicide,Mv,1,infected
20180802,D2,6,fungicide,Mv,2,infected
20180802,D2,6,fungicide,Mv,3,infected
20180802,D2,6,fungicide,Ev,1,infected
20180802,D2,6,fungicide,Ev,2,infected
20180802,D2,6,fungicide,Ev,3,infected
20180802,D2,6,fungicide,Ev,A,infected
20180801,D2,7,fungicide,Mv,1,uninfected
20180801,D2,7,fungicide,Mv,2,uninfected
20180801,D2,7,fungicide,Mv,3,uninfected
20180801,D2,7,fungicide,Ev,1,infected
20180801,D2,7,fungicide,Ev,2,infected
20180801,D2,7,fungicide,Ev,3,infected
20180801,D2,7,fungicide,Ev,A,infected
20180802,D2,8,fungicide,Mv,1,infected
20180802,D2,8,fungicide,Mv,2,infected
20180802,D2,8,fungicide,Mv,3,infected
20180802,D2,8,fungicide,Ev,1,infected
20180802,D2,8,fungicide,Ev,2,infected
20180802,D2,8,fungicide,Ev,3,infected
20180802,D2,8,fungicide,Ev,A,infected
20180801,D2,9,fungicide,Mv,1,infected
20180801,D2,9,fungicide,Mv,2,infected
20180801,D2,9,fungicide,Mv,3,infected
20180801,D2,9,fungicide,Ev,1,infected
20180801,D2,9,fungicide,Ev,2,infected
20180801,D2,9,fungicide,Ev,3,infected
20180801,D2,9,fungicide,Ev,A,infected
20180802,D2,10,fungicide,Mv,1,uninfected
20180802,D2,10,fungicide,Mv,2,uninfected
20180802,D2,10,fungicide,Mv,3,uninfected
20180802,D2,10,fungicide,Ev,1,infected
20180802,D2,10,fungicide,Ev,2,dead
20180802,D2,10,fungicide,Ev,3,infected
20180802,D2,10,fungicide,Ev,A,infected
20180801,D2,1,water,Mv,1,uninfected
20180801,D2,1,water,Mv,2,uninfected
20180801,D2,1,water,Mv,3,uninfected
20180801,D2,1,water,Ev,1,infected
20180801,D2,1,water,Ev,2,infected
20180801,D2,1,water,Ev,3,dead
20180801,D2,1,water,Ev,A,infected
20180802,D2,2,water,Mv,1,infected
20180802,D2,2,water,Mv,2,infected
20180802,D2,2,water,Mv,3,infected
20180802,D2,2,water,Ev,1,infected
20180802,D2,2,water,Ev,2,dead
20180802,D2,2,water,Ev,3,infected
20180802,D2,2,water,Ev,A,infected
20180802,D2,3,water,Mv,1,infected
20180802,D2,3,water,Mv,2,uninfected
20180802,D2,3,water,Mv,3,infected
20180802,D2,3,water,Ev,1,infected
20180802,D2,3,water,Ev,2,dead
20180802,D2,3,water,Ev,3,infected
20180802,D2,3,water,Ev,A,infected
20180801,D2,4,water,Mv,1,infected
20180801,D2,4,water,Mv,2,infected
20180801,D2,4,water,Mv,3,infected
20180801,D2,4,water,Ev,1,infected
20180801,D2,4,water,Ev,2,Alive
20180801,D2,4,water,Ev,3,infected
20180801,D2,4,water,Ev,A,infected
20180802,D2,5,water,Mv,1,infected
20180802,D2,5,water,Mv,2,infected
20180802,D2,5,water,Mv,3,infected
20180802,D2,5,water,Ev,1,infected
20180802,D2,5,water,Ev,2,uninfected
20180802,D2,5,water,Ev,3,dead
20180802,D2,5,water,Ev,A,infected
20180802,D2,6,water,Mv,1,infected
20180802,D2,6,water,Mv,2,infected
20180802,D2,6,water,Mv,3,infected
20180802,D2,6,water,Ev,1,infected
20180802,D2,6,water,Ev,2,infected
20180802,D2,6,water,Ev,3,infected
20180802,D2,6,water,Ev,A,infected
20180802,D2,7,water,Mv,1,infected
20180802,D2,7,water,Mv,2,infected
20180802,D2,7,water,Mv,3,infected
20180802,D2,7,water,Ev,1,infected
20180802,D2,7,water,Ev,2,infected
20180802,D2,7,water,Ev,3,infected
20180802,D2,7,water,Ev,A,infected
20180802,D2,8,water,Mv,1,infected
20180802,D2,8,water,Mv,2,infected
20180802,D2,8,water,Mv,3,infected
20180802,D2,8,water,Ev,1,infected
20180802,D2,8,water,Ev,2,infected
20180802,D2,8,water,Ev,3,infected
20180802,D2,8,water,Ev,A,infected
20180801,D2,9,water,Mv,1,infected
20180801,D2,9,water,Mv,2,infected
20180801,D2,9,water,Mv,3,infected
20180801,D2,9,water,Ev,1,infected
20180801,D2,9,water,Ev,2,infected
20180801,D2,9,water,Ev,3,infected
20180801,D2,9,water,Ev,A,infected
20180801,D2,10,water,Mv,1,infected
20180801,D2,10,water,Mv,2,infected
20180801,D2,10,water,Mv,3,infected
20180801,D2,10,water,Ev,1,infected
20180801,D2,10,water,Ev,2,infected
20180801,D2,10,water,Ev,3,infected
20180801,D2,10,water,Ev,A,infected
20180802,D3,1,fungicide,Mv,1,infected
20180802,D3,1,fungicide,Mv,2,infected
20180802,D3,1,fungicide,Mv,3,infected
20180802,D3,1,fungicide,Ev,1,dead
20180802,D3,1,fungicide,Ev,2,dead
20180802,D3,1,fungicide,Ev,3,dead
20180802,D3,1,fungicide,Ev,A,infected
20180802,D3,2,fungicide,Mv,1,infected
20180802,D3,2,fungicide,Mv,2,infected
20180802,D3,2,fungicide,Mv,3,infected
20180802,D3,2,fungicide,Ev,1,dead
20180802,D3,2,fungicide,Ev,2,dead
20180802,D3,2,fungicide,Ev,3,dead
20180802,D3,2,fungicide,Ev,A,infected
20180802,D3,3,fungicide,Mv,1,infected
20180802,D3,3,fungicide,Mv,2,dead
20180802,D3,3,fungicide,Mv,3,infected
20180802,D3,3,fungicide,Ev,1,dead
20180802,D3,3,fungicide,Ev,2,dead
20180802,D3,3,fungicide,Ev,3,dead
20180802,D3,3,fungicide,Ev,A,infected
20180802,D3,4,fungicide,Mv,1,infected
20180802,D3,4,fungicide,Mv,2,infected
20180802,D3,4,fungicide,Mv,3,dead
20180802,D3,4,fungicide,Ev,1,dead
20180802,D3,4,fungicide,Ev,2,dead
20180802,D3,4,fungicide,Ev,3,dead
20180802,D3,4,fungicide,Ev,A,infected
20180802,D3,5,fungicide,Mv,1,dead
20180802,D3,5,fungicide,Mv,2,dead
20180802,D3,5,fungicide,Mv,3,dead
20180802,D3,5,fungicide,Ev,1,dead
20180802,D3,5,fungicide,Ev,2,dead
20180802,D3,5,fungicide,Ev,3,dead
20180802,D3,5,fungicide,Ev,A,infected
20180802,D3,6,fungicide,Mv,1,infected
20180802,D3,6,fungicide,Mv,2,dead
20180802,D3,6,fungicide,Mv,3,dead
20180802,D3,6,fungicide,Ev,1,dead
20180802,D3,6,fungicide,Ev,2,dead
20180802,D3,6,fungicide,Ev,3,dead
20180802,D3,6,fungicide,Ev,A,infected
20180802,D3,7,fungicide,Mv,1,dead
20180802,D3,7,fungicide,Mv,2,infected
20180802,D3,7,fungicide,Mv,3,infected
20180802,D3,7,fungicide,Ev,1,dead
20180802,D3,7,fungicide,Ev,2,infected
20180802,D3,7,fungicide,Ev,3,dead
20180802,D3,7,fungicide,Ev,A,infected
20180802,D3,8,fungicide,Mv,1,infected
20180802,D3,8,fungicide,Mv,2,infected
20180802,D3,8,fungicide,Mv,3,infected
20180802,D3,8,fungicide,Ev,1,infected
20180802,D3,8,fungicide,Ev,2,dead
20180802,D3,8,fungicide,Ev,3,dead
20180802,D3,8,fungicide,Ev,A,infected
20180802,D3,9,fungicide,Mv,1,infected
20180802,D3,9,fungicide,Mv,2,infected
20180802,D3,9,fungicide,Mv,3,infected
20180802,D3,9,fungicide,Ev,1,dead
20180802,D3,9,fungicide,Ev,2,dead
20180802,D3,9,fungicide,Ev,3,dead
20180802,D3,9,fungicide,Ev,A,infected
20180802,D3,10,fungicide,Mv,1,infected
20180802,D3,10,fungicide,Mv,2,infected
20180802,D3,10,fungicide,Mv,3,infected
20180802,D3,10,fungicide,Ev,1,dead
20180802,D3,10,fungicide,Ev,2,dead
20180802,D3,10,fungicide,Ev,3,dead
20180802,D3,10,fungicide,Ev,A,infected
20180802,D3,1,water,Mv,1,infected
20180802,D3,1,water,Mv,2,infected
20180802,D3,1,water,Mv,3,infected
20180802,D3,1,water,Ev,1,dead
20180802,D3,1,water,Ev,2,dead
20180802,D3,1,water,Ev,3,dead
20180802,D3,1,water,Ev,A,infected
20180802,D3,2,water,Mv,1,infected
20180802,D3,2,water,Mv,2,infected
20180802,D3,2,water,Mv,3,infected
20180802,D3,2,water,Ev,1,dead
20180802,D3,2,water,Ev,2,dead
20180802,D3,2,water,Ev,3,dead
20180802,D3,2,water,Ev,A,infected
20180802,D3,3,water,Mv,1,infected
20180802,D3,3,water,Mv,2,infected
20180802,D3,3,water,Mv,3,infected
20180802,D3,3,water,Ev,1,dead
20180802,D3,3,water,Ev,2,dead
20180802,D3,3,water,Ev,3,infected
20180802,D3,3,water,Ev,A,infected
20180802,D3,4,water,Mv,1,infected
20180802,D3,4,water,Mv,2,infected
20180802,D3,4,water,Mv,3,infected
20180802,D3,4,water,Ev,1,dead
20180802,D3,4,water,Ev,2,infected
20180802,D3,4,water,Ev,3,dead
20180802,D3,4,water,Ev,A,dead
20180802,D3,5,water,Mv,1,infected
20180802,D3,5,water,Mv,2,infected
20180802,D3,5,water,Mv,3,infected
20180802,D3,5,water,Ev,1,infected
20180802,D3,5,water,Ev,2,dead
20180802,D3,5,water,Ev,3,dead
20180802,D3,5,water,Ev,A,infected
20180802,D3,6,water,Mv,1,infected
20180802,D3,6,water,Mv,2,infected
20180802,D3,6,water,Mv,3,infected
20180802,D3,6,water,Ev,1,dead
20180802,D3,6,water,Ev,2,dead
20180802,D3,6,water,Ev,3,dead
20180802,D3,6,water,Ev,A,infected
20180802,D3,7,water,Mv,1,infected
20180802,D3,7,water,Mv,2,infected
20180802,D3,7,water,Mv,3,infected
20180802,D3,7,water,Ev,1,dead
20180802,D3,7,water,Ev,2,dead
20180802,D3,7,water,Ev,3,uninfected
20180802,D3,7,water,Ev,A,infected
20180802,D3,8,water,Mv,1,infected
20180802,D3,8,water,Mv,2,infected
20180802,D3,8,water,Mv,3,infected
20180802,D3,8,water,Ev,1,dead
20180802,D3,8,water,Ev,2,dead
20180802,D3,8,water,Ev,3,dead
20180802,D3,8,water,Ev,A,dead
20180802,D3,9,water,Mv,1,dead
20180802,D3,9,water,Mv,2,dead
20180802,D3,9,water,Mv,3,infected
20180802,D3,9,water,Ev,1,dead
20180802,D3,9,water,Ev,2,dead
20180802,D3,9,water,Ev,3,dead
20180802,D3,9,water,Ev,A,infected
20180802,D3,10,water,Mv,1,infected
20180802,D3,10,water,Mv,2,dead
20180802,D3,10,water,Mv,3,dead
20180802,D3,10,water,Ev,1,dead
20180802,D3,10,water,Ev,2,infected
20180802,D3,10,water,Ev,3,infected
20180802,D3,10,water,Ev,A,infected
20180802,D4,1,fungicide,Mv,1,uninfected
20180802,D4,1,fungicide,Mv,2,uninfected
20180802,D4,1,fungicide,Mv,3,uninfected
20180802,D4,1,fungicide,Ev,1,dead
20180802,D4,1,fungicide,Ev,2,dead
20180802,D4,1,fungicide,Ev,3,dead
20180802,D4,1,fungicide,Ev,A,dead
20180802,D4,2,fungicide,Mv,1,dead
20180802,D4,2,fungicide,Mv,2,infected
20180802,D4,2,fungicide,Mv,3,uninfected
20180802,D4,2,fungicide,Ev,1,infected
20180802,D4,2,fungicide,Ev,2,infected
20180802,D4,2,fungicide,Ev,3,dead
20180802,D4,2,fungicide,Ev,A,infected
20180802,D4,3,fungicide,Mv,1,infected
20180802,D4,3,fungicide,Mv,2,infected
20180802,D4,3,fungicide,Mv,3,infected
20180802,D4,3,fungicide,Ev,1,infected
20180802,D4,3,fungicide,Ev,2,dead
20180802,D4,3,fungicide,Ev,3,infected
20180802,D4,3,fungicide,Ev,A,infected
20180802,D4,4,fungicide,Mv,1,dead
20180802,D4,4,fungicide,Mv,2,uninfected
20180802,D4,4,fungicide,Mv,3,infected
20180802,D4,4,fungicide,Ev,1,infected
20180802,D4,4,fungicide,Ev,2,infected
20180802,D4,4,fungicide,Ev,3,dead
20180802,D4,4,fungicide,Ev,A,infected
20180802,D4,5,fungicide,Mv,1,uninfected
20180802,D4,5,fungicide,Mv,2,uninfected
20180802,D4,5,fungicide,Mv,3,dead
20180802,D4,5,fungicide,Ev,1,dead
20180802,D4,5,fungicide,Ev,2,infected
20180802,D4,5,fungicide,Ev,3,infected
20180802,D4,5,fungicide,Ev,A,infected
20180802,D4,6,fungicide,Mv,1,uninfected
20180802,D4,6,fungicide,Mv,2,infected
20180802,D4,6,fungicide,Mv,3,dead
20180802,D4,6,fungicide,Ev,1,dead
20180802,D4,6,fungicide,Ev,2,dead
20180802,D4,6,fungicide,Ev,3,infected
20180802,D4,6,fungicide,Ev,A,infected
20180802,D4,7,fungicide,Mv,1,infected
20180802,D4,7,fungicide,Mv,2,uninfected
20180802,D4,7,fungicide,Mv,3,infected
20180802,D4,7,fungicide,Ev,1,dead
20180802,D4,7,fungicide,Ev,2,dead
20180802,D4,7,fungicide,Ev,3,dead
20180802,D4,7,fungicide,Ev,A,infected
20180802,D4,8,fungicide,Mv,1,tree fell on plot
20180802,D4,8,fungicide,Mv,2,tree fell on plot
20180802,D4,8,fungicide,Mv,3,tree fell on plot
20180802,D4,8,fungicide,Ev,1,tree fell on plot
20180802,D4,8,fungicide,Ev,2,tree fell on plot
20180802,D4,8,fungicide,Ev,3,tree fell on plot
20180802,D4,8,fungicide,Ev,A,tree fell on plot
20180802,D4,9,fungicide,Mv,1,uninfected
20180802,D4,9,fungicide,Mv,2,infected
20180802,D4,9,fungicide,Mv,3,dead
20180802,D4,9,fungicide,Ev,1,dead
20180802,D4,9,fungicide,Ev,2,dead
20180802,D4,9,fungicide,Ev,3,dead
20180802,D4,9,fungicide,Ev,A,infected
20180802,D4,10,fungicide,Mv,1,tree fell on plot
20180802,D4,10,fungicide,Mv,2,tree fell on plot
20180802,D4,10,fungicide,Mv,3,tree fell on plot
20180802,D4,10,fungicide,Ev,1,tree fell on plot
20180802,D4,10,fungicide,Ev,2,tree fell on plot
20180802,D4,10,fungicide,Ev,3,tree fell on plot
20180802,D4,10,fungicide,Ev,A,tree fell on plot
20180802,D4,1,water,Mv,1,infected
20180802,D4,1,water,Mv,2,infected
20180802,D4,1,water,Mv,3,infected
20180802,D4,1,water,Ev,1,infected
20180802,D4,1,water,Ev,2,infected
20180802,D4,1,water,Ev,3,infected
20180802,D4,1,water,Ev,A,infected
20180802,D4,2,water,Mv,1,infected
20180802,D4,2,water,Mv,2,dead
20180802,D4,2,water,Mv,3,infected
20180802,D4,2,water,Ev,1,infected
20180802,D4,2,water,Ev,2,infected
20180802,D4,2,water,Ev,3,infected
20180802,D4,2,water,Ev,A,infected
20180802,D4,3,water,Mv,1,infected
20180802,D4,3,water,Mv,2,infected
20180802,D4,3,water,Mv,3,infected
20180802,D4,3,water,Ev,1,infected
20180802,D4,3,water,Ev,2,dead
20180802,D4,3,water,Ev,3,dead
20180802,D4,3,water,Ev,A,infected
20180802,D4,4,water,Mv,1,infected
20180802,D4,4,water,Mv,2,infected
20180802,D4,4,water,Mv,3,infected
20180802,D4,4,water,Ev,1,dead
20180802,D4,4,water,Ev,2,dead
20180802,D4,4,water,Ev,3,dead
20180802,D4,4,water,Ev,A,infected
20180802,D4,5,water,Mv,1,infected
20180802,D4,5,water,Mv,2,uninfected
20180802,D4,5,water,Mv,3,uninfected
20180802,D4,5,water,Ev,1,infected
20180802,D4,5,water,Ev,2,dead
20180802,D4,5,water,Ev,3,infected
20180802,D4,5,water,Ev,A,infected
20180802,D4,6,water,Mv,1,uninfected
20180802,D4,6,water,Mv,2,infected
20180802,D4,6,water,Mv,3,infected
20180802,D4,6,water,Ev,1,infected
20180802,D4,6,water,Ev,2,infected
20180802,D4,6,water,Ev,3,infected
20180802,D4,6,water,Ev,A,infected
20180802,D4,7,water,Mv,1,infected
20180802,D4,7,water,Mv,2,infected
20180802,D4,7,water,Mv,3,infected
20180802,D4,7,water,Ev,1,infected
20180802,D4,7,water,Ev,2,dead
20180802,D4,7,water,Ev,3,infected
20180802,D4,7,water,Ev,A,infected
20180802,D4,8,water,Mv,1,infected
20180802,D4,8,water,Mv,2,infected
20180802,D4,8,water,Mv,3,infected
20180802,D4,8,water,Ev,1,infected
20180802,D4,8,water,Ev,2,dead
20180802,D4,8,water,Ev,3,dead
20180802,D4,8,water,Ev,A,infected
20180802,D4,9,water,Mv,1,infected
20180802,D4,9,water,Mv,2,infected
20180802,D4,9,water,Mv,3,infected
20180802,D4,9,water,Ev,1,infected
20180802,D4,9,water,Ev,2,infected
20180802,D4,9,water,Ev,3,dead
20180802,D4,9,water,Ev,A,infected
20180802,D4,10,water,Mv,1,infected
20180802,D4,10,water,Mv,2,infected
20180802,D4,10,water,Mv,3,infected
20180802,D4,10,water,Ev,1,infected
20180802,D4,10,water,Ev,2,infected
20180802,D4,10,water,Ev,3,infected
20180802,D4,10,water,Ev,A,infected
